S/N,Original_Agency,Department,Original_Job_Title,Task_Line,AI_Integration_Probability_Percent,AI_Integration_Skill_Level,AI_Integration_Reasoning,Tool_1,Tool_2,Tool_3,Tool_1_Similarity,Tool_2_Similarity,Tool_3_Similarity,Tool_1_Desc,Tool_2_Desc,Tool_3_Desc,Subtask_1,Subtask_2,Subtask_3,LLM_Confidence_Score
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Track and coordinate on the Enforcement Subgroupâ€™s budget utilisation reports.,60,High,"AI can automate budget tracking and generate utilization reports with high accuracy, reducing manual effort significantly.",READ,Pair,AISAY,0.412067851,0.404295145,0.402934735,An AI-powered solution that streamlines document handling and verification.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Monitor and review budget utilisation reports submitted by the Enforcement Subgroup to ensure accuracy and compliance.,Coordinate with the Enforcement Subgroup to address discrepancies or clarify details in the budget reports.,Prepare and submit consolidated updates on budget utilisation to relevant stakeholders for review and decision-making.,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Maintain accurate procurement records and support audit activities by ensuring documentation is comprehensive and up to date.,55,High,"AI can automate record-keeping and ensure compliance with audit requirements, minimizing human error and effort.",READ,AISAY,Pair,0.457743018,0.423668361,0.36584785,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",A suite of AI tools designed to help public officers enhance productivity using LLMs.,Review and update procurement records regularly to ensure accuracy and completeness.,Organize and archive procurement documentation systematically for easy retrieval during audits.,Collaborate with relevant stakeholders to address any discrepancies or gaps in procurement records.,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Review and implement improvements to operational workflows to enhance efficiency.,30,Medium,"AI can suggest workflow improvements based on data analysis, but human expertise is required to implement changes effectively.",READ,MAESTRO,AISAY,0.428552731,0.424292509,0.406540036,An AI-powered solution that streamlines document handling and verification.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Analyze current operational workflows to identify inefficiencies and bottlenecks.,Develop recommendations for workflow improvements based on findings.,Implement approved changes and monitor their impact on efficiency.,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","As part of the portfolio, you will be required to work closely with multiple stakeholders across departments, requiring strong interpersonal skills, attention to detail, and a solid understanding of public procurement frameworks.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Knowledge in Engineering (Electrical, Electronic, Mechanical, or equivalent).",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Minimum 8 years of relevant experience in automotive technology or related fields, including customer engagement and project management.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Familiarity with bus technologies, including electric/cleaner energy vehicles, and fleet operations is a plus.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Strong communication, stakeholder management, and interpersonal skills.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE",Experience in public transport and data analytics is advantageous.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Analytical, detail-oriented, proactive, and able to manage multiple projects.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE",Passionate about public transport improvement and sustainability.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE",Candidates without direct experience but with relevant skills and motivation are welcome to apply.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Join the Bus Excellence team to lead initiatives that enhance the bus commuting experience through public engagement, technology trials, and safety improvements.",30,Medium,"While AI can assist in analyzing public engagement data and technology trials, human oversight and creativity are essential for initiative leadership and stakeholder collaboration.",Land Transport DataMall,Pair,CrowdTaskSG,0.401427474,0.381166205,0.365105169,Offers transport-related datasets and APIs to support public-private collaboration.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,Enables public agencies to crowdsource ideas and engage citizens in shaping policies and initiatives.,Develop and implement public engagement strategies to gather feedback and promote awareness of bus commuting initiatives.,Coordinate and oversee technology trials aimed at improving the efficiency and convenience of bus services.,Identify and implement measures to enhance safety standards for bus commuters and operations.,0.8
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE",Lead public feedback and engagement sessions with commuters and bus operators to gather insights for bus design improvements.,40,Medium,"AI can support by analyzing feedback data and generating insights, but human interaction is critical for effective engagement and interpretation.",CrowdTaskSG,SENSE,Land Transport DataMall,0.408135309,0.404433004,0.399950122,Enables public agencies to crowdsource ideas and engage citizens in shaping policies and initiatives.,An AI data assistant that enables non-technical users to analyse datasets easily.,Offers transport-related datasets and APIs to support public-private collaboration.,Coordinate and schedule feedback and engagement sessions with commuters and bus operators.,Facilitate discussions during sessions to ensure all participants can share their insights effectively.,Compile and analyze feedback gathered to identify key areas for bus design improvements.,0.8
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Plan, manage and oversee bus platform trials including electric/cleaner energy buses, and retrofitted buses designed for inclusivity, to evaluate their operational effectiveness and commuter experience.",50,Medium,"AI can assist in data collection and analysis during trials, but human expertise is required for planning, management, and nuanced evaluation.",SENSE,MAESTRO,Land Transport DataMall,0.393489531,0.390771307,0.387910424,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Offers transport-related datasets and APIs to support public-private collaboration.,"Develop a detailed trial plan outlining objectives, timelines, and evaluation criteria for bus platform trials.","Coordinate with stakeholders to ensure proper implementation of trials, including deployment of electric/cleaner energy buses and retrofitted buses.","Monitor and assess trial outcomes, focusing on operational effectiveness and commuter experience, and prepare a comprehensive report with recommendations.",0.8
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE","Drive bus safety initiatives, ensure compliance with standards, and lead related investigations and improvements.",60,High,"AI can automate compliance checks and assist in safety investigations through data analysis, but human oversight is needed for implementation and improvement strategies.",SENSE,MAESTRO,READ,0.380122302,0.374304183,0.363075836,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI-powered solution that streamlines document handling and verification.,Develop and implement safety initiatives to enhance bus operations and passenger safety.,Monitor and ensure compliance with established safety standards and regulations.,Conduct investigations into safety incidents and recommend improvements to prevent recurrence.,0.8
2,Land Transport Authority,Others,"[LTA-PT] MANAGER, BUS EXCELLENCE",Facilitate interoperability between existing fleets and new charging infrastructure to ensure smooth bus operations.,70,High,"AI can optimize scheduling and monitor interoperability between fleets and infrastructure, significantly reducing manual effort.",Land Transport DataMall,MAESTRO,VICA,0.387533146,0.378041696,0.362161422,Offers transport-related datasets and APIs to support public-private collaboration.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI-driven platform for creating user-friendly chatbots for citizen services.,Assess compatibility between existing bus fleets and new charging infrastructure.,Develop operational protocols to integrate charging schedules with bus operations.,Coordinate with stakeholders to address technical and logistical challenges in interoperability.,0.8
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","At least 10 years of working experience, preferably in operations and project management",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","Knowledge or experience in leading teams, change management and strategic thinking will be an advantage",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT",Highly adaptable team player who is able to work independently and multi-task in a dynamic and fast environment,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","Self-motivated, astute, meticulous and resourceful to produce innovative solutions to address a range of policy and operational matters",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","Proficiency in digitalisation tools (e.g Python, UiPath, RPA) will have added advantage",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","You will be in the team that oversees the development and management of taxi, private hire cars, public and private hire bus drivers.",30,Medium,"While AI can assist in managing driver data and operations, human oversight is required for policy development and engagement activities.",Land Transport DataMall,SENSE,Pair,0.396470609,0.364623793,0.360004902,Offers transport-related datasets and APIs to support public-private collaboration.,An AI data assistant that enables non-technical users to analyse datasets easily.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,Monitor compliance with licensing and regulatory requirements for drivers and operators.,Develop policies and initiatives to improve service standards and safety for drivers and passengers.,Engage stakeholders to address industry challenges and gather feedback for continuous improvement.,0.8
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","You will play a vital role in developing new Vocational Licence (VL) policy measures, managing VL training and testing operations, oversee the operation in handling feedbacks and appeal cases, and implementing initiatives to improve customer experience and digital services adoption rate.",40,Medium,"AI can support policy analysis, training automation, and feedback handling, but human input is essential for policy creation and customer engagement.",Pair,READ,Optimal Government Rule Engine (OGRE),0.441929143,0.378434115,0.359963282,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,Transforms policy rules into business logic that powers technology systems.,Develop and propose new Vocational Licence policy measures to address emerging needs and challenges.,Manage and oversee Vocational Licence training and testing operations to ensure compliance and efficiency.,Handle feedback and appeal cases while implementing initiatives to enhance customer experience and promote digital services adoption.,0.8
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT",You will also oversee bi-annual Service Awards events for the Public Transport Group which aim to recognise individuals and teams for good customer service projects and behaviour.,20,Medium,"AI can assist in event planning and logistics, but human involvement is necessary for recognition and engagement activities.",Pair,READ,MAESTRO,0.402856732,0.350395035,0.341144922,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Plan and coordinate the logistics and venue arrangements for the bi-annual Service Awards events.,Collaborate with relevant stakeholders to identify award recipients and prepare recognition materials.,Develop and execute a program schedule that highlights achievements and promotes positive customer service values.,0.8
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","In addition, you will be required to develop competency of your officers as well as to plan and execute contingency plans to ensure operational continuity.",25,Medium,"AI can help with training modules and contingency planning simulations, but human leadership is critical for execution and decision-making.",Pair,MAESTRO,SENSE,0.386413655,0.36379778,0.291417139,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI data assistant that enables non-technical users to analyse datasets easily.,Identify training needs and design development programs to enhance officers' competencies.,Develop and document contingency plans to address potential operational disruptions.,Coordinate and oversee the execution of contingency plans during operational challenges.,0.8
3,Land Transport Authority,Others,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT",You will need to drive digitalisation and AI initiatives to improve the productivity of your officers and improve work processes.,60,High,"This task directly involves implementing AI solutions, which can significantly enhance productivity and streamline processes.",Pair,READ,AISAY,0.526159576,0.460582459,0.432734036,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Identify key work processes and areas where digitalisation and AI can enhance productivity and efficiency.,Collaborate with stakeholders to design and implement digitalisation and AI solutions tailored to the identified needs.,Monitor and evaluate the impact of implemented initiatives to ensure continuous improvement and alignment with organisational goals.,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"Knowledge in Computer Science, Software Engineering, or a related field.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,At least 5 or more years of extensive experience in software development and cloud-native application design.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,Strong leadership skills with experience mentoring engineering teams.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"Proficiency in DevOps tools, CI/CD pipelines, and Infrastructure as Code (Terraform, CloudFormation).",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,Knowledge of cloud security standards and best practices.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,Excellent problem-solving skills and ability to drive technical decision-making.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"You will be responsible for designing, developing, and optimizing cloud-based software solutions while leading a team of engineers.",40,Medium,"While AI can assist in optimizing software solutions and providing recommendations, the leadership and design aspects require human expertise and creativity.",MAESTRO,SENSE,VICA,0.377968756,0.371645473,0.348373203,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-driven platform for creating user-friendly chatbots for citizen services.,Design cloud-based software solutions that align with organizational goals and requirements.,"Develop and implement cloud-based software solutions, ensuring functionality and scalability.",Lead and coordinate a team of engineers to optimize software performance and ensure project milestones are met.,0.8
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"You will provide technical leadership in cloud-native application development, DevOps, and automation.",30,Medium,"AI can support automation and DevOps processes, but technical leadership and decision-making require human judgment and experience.",MAESTRO,SENSE,VICA,0.406023082,0.349672529,0.327422394,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-driven platform for creating user-friendly chatbots for citizen services.,Guide teams in designing and implementing cloud-native applications aligned with organizational goals.,Develop and enforce best practices for DevOps workflows and continuous integration/continuous deployment processes.,Identify opportunities for automation and oversee the development of automated solutions to improve efficiency.,0.8
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"You will design and develop scalable, resilient, and secure cloud-native applications and lead and mentor a team of software engineers, fostering best practices in software development and DevOps.",35,Medium,"AI can assist in identifying best practices and optimizing application design, but mentoring and leadership require human interaction and expertise.",MAESTRO,SENSE,VICA,0.3904801,0.346917806,0.329916965,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-driven platform for creating user-friendly chatbots for citizen services.,"Design and implement cloud-native application architectures that prioritize scalability, resilience, and security.","Provide technical leadership and guidance to a team of software engineers, ensuring adherence to best practices in software development.",Promote and integrate DevOps principles within the team to enhance collaboration and streamline development workflows.,0.8
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"Beyond thee, you will implement CI/CD pipelines and Infrastructure as Code (IaC) for cloud automation.",70,High,"AI can significantly automate the implementation and management of CI/CD pipelines and IaC, reducing manual effort and increasing efficiency.",MAESTRO,StandardBuild,Pinpoint,0.437499354,0.360473816,0.352043707,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Standardises operating system and middleware images for virtual machine provisioning on government cloud platforms.,"A secure, AI-powered platform for storing, managing, and sharing images and videos efficiently.",Design and document CI/CD pipeline workflows tailored to project requirements.,Develop and test Infrastructure as Code (IaC) scripts to automate cloud resource provisioning.,Integrate CI/CD pipelines with IaC to enable seamless cloud automation and deployment.,0.9
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"Ensure adherence to security standards, compliance regulations, and coding best practices.",60,High,"AI can assist in monitoring and enforcing security standards and compliance regulations, as well as identifying deviations from coding best practices.",MAESTRO,READ,SENSE,0.403636173,0.37057241,0.366806491,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,An AI-powered solution that streamlines document handling and verification.,An AI data assistant that enables non-technical users to analyse datasets easily.,Review and interpret relevant security standards and compliance regulations applicable to the project or system.,Conduct regular audits and assessments to verify adherence to established security and compliance requirements.,Provide guidance and training to team members on coding best practices and compliance protocols.,0.8
4,Land Transport Authority,"InfoComm, Technology, New Media Communications",[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,Collaborate with stakeholders to define technical requirements and architecture strategies.,25,Medium,"AI can provide insights and recommendations for architecture strategies, but collaboration and requirement definition require human interaction and negotiation.",SENSE,VICA,MAESTRO,0.366150728,0.338677301,0.33568212,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI-driven platform for creating user-friendly chatbots for citizen services.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Engage stakeholders to gather input on technical needs and objectives.,Facilitate discussions to align on architecture strategies and priorities.,Document agreed technical requirements and architecture strategies for review and approval.,0.8
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",Knowledge in Electrical or Mechanical Engineering,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING","A team player who is meticulous, proactive, resourceful, and responsible",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",Good writing and communication skills,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",Good overall computing proficiency including Microsoft Office,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",Self-driven with strong initiative to learn and willingness to get hands-on experience for site works,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",Available to perform shift work including weekends and public holidays when necessary,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",Those without working experience are welcome to apply,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING","As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING",You will work with a team of engineers focusing on engineering aspects of rolling stock and depot equipment.,30,Medium,"While collaboration and teamwork are human-centric, AI can assist in engineering analysis and documentation tasks, but cannot fully automate the role.",READ,AISAY,Pair,0.367857118,0.366044046,0.36266649,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",A suite of AI tools designed to help public officers enhance productivity using LLMs.,Collaborate with engineers to assess and improve the performance of rolling stock systems.,Conduct technical evaluations and ensure compliance with engineering standards for depot equipment.,Develop and implement maintenance strategies for rolling stock and depot equipment to ensure operational reliability.,0.8
5,Land Transport Authority,Engineering,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING","The projects you will be working on include LRT trains, specialised track maintenance vehicles (locomotives, wagons, multi-function vehicles, rail grinding vehicles, etc.), rail depot equipment (automatic train wash plant, underfloor wheel lathe, underfloor lifting system, etc) and bus depot equipment (automatic bus wash system, bus testing and maintenance equipment, etc).",40,Medium,"AI can assist in technical design reviews, predictive maintenance, and data analysis for these systems, but human oversight is required for complex engineering tasks.",Pair,SENSE,MAESTRO,0.377233125,0.375610011,0.354278343,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI data assistant that enables non-technical users to analyse datasets easily.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,Coordinate and oversee the development and maintenance of LRT trains and specialised track maintenance vehicles.,"Manage the procurement, installation, and upkeep of rail depot equipment.",Supervise the implementation and maintenance of bus depot equipment and systems.,0.8
